<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.03.02	22:00:00	1.85669	1.85699	1.85549	1.85565	169	0	151
2025.03.02	22:15:00	1.85564	1.85636	1.85530	1.85622	257	0	144
2025.03.02	22:30:00	1.85622	1.85679	1.85609	1.85647	288	0	116
2025.03.02	22:45:00	1.85647	1.85689	1.85627	1.85689	201	0	99
2025.03.02	23:00:00	1.85689	1.85807	1.85577	1.85664	1007	0	14
2025.03.02	23:15:00	1.85663	1.85808	1.85659	1.85712	1807	0	14
2025.03.02	23:30:00	1.85713	1.85916	1.85707	1.85889	1485	0	14
2025.03.02	23:45:00	1.85889	1.85934	1.85783	1.85793	1266	0	14
2025.03.03	00:00:00	1.85791	1.85861	1.85769	1.85787	1813	0	14
2025.03.03	00:15:00	1.85787	1.85845	1.85715	1.85725	2074	0	14
2025.03.03	00:30:00	1.85725	1.85799	1.85717	1.85728	1698	0	14
2025.03.03	00:45:00	1.85728	1.85800	1.85670	1.85696	2015	0	14
2025.03.03	01:00:00	1.85696	1.85744	1.85664	1.85690	2548	0	14
2025.03.03	01:15:00	1.85693	1.85711	1.85646	1.85675	2343	0	14
2025.03.03	01:30:00	1.85671	1.85702	1.85626	1.85667	2412	0	14
2025.03.03	01:45:00	1.85664	1.85697	1.85619	1.85692	2205	0	14
2025.03.03	02:00:00	1.85692	1.85770	1.85660	1.85746	1681	0	14
2025.03.03	02:15:00	1.85746	1.85776	1.85690	1.85717	1361	0	14
2025.03.03	02:30:00	1.85717	1.85787	1.85717	1.85778	1317	0	14
2025.03.03	02:45:00	1.85778	1.85807	1.85732	1.85769	1405	0	14
2025.03.03	03:00:00	1.85772	1.85889	1.85762	1.85868	2267	0	14
2025.03.03	03:15:00	1.85867	1.85920	1.85811	1.85904	1794	0	14
2025.03.03	03:30:00	1.85903	1.85975	1.85861	1.85881	1649	0	14
2025.03.03	03:45:00	1.85881	1.85990	1.85877	1.85946	1301	0	14
2025.03.03	04:00:00	1.85946	1.85987	1.85920	1.85929	1275	0	14
2025.03.03	04:15:00	1.85929	1.85947	1.85892	1.85924	921	0	14
2025.03.03	04:30:00	1.85924	1.85967	1.85923	1.85931	1054	0	14
2025.03.03	04:45:00	1.85930	1.85949	1.85878	1.85938	981	0	14
2025.03.03	05:00:00	1.85938	1.85957	1.85902	1.85927	1316	0	14
2025.03.03	05:15:00	1.85927	1.85992	1.85919	1.85947	1491	0	14
2025.03.03	05:30:00	1.85947	1.85964	1.85903	1.85913	1120	0	14
2025.03.03	05:45:00	1.85913	1.85939	1.85873	1.85884	1107	0	14
2025.03.03	06:00:00	1.85884	1.85947	1.85884	1.85940	1355	0	14
2025.03.03	06:15:00	1.85940	1.86029	1.85894	1.86027	1237	0	14
2025.03.03	06:30:00	1.86027	1.86089	1.85979	1.86018	1607	0	14
2025.03.03	06:45:00	1.86018	1.86018	1.85887	1.85920	1644	0	14
2025.03.03	07:00:00	1.85919	1.85919	1.85797	1.85884	2347	0	14
2025.03.03	07:15:00	1.85884	1.85894	1.85740	1.85749	2148	0	14
2025.03.03	07:30:00	1.85748	1.85822	1.85663	1.85800	1838	0	14
2025.03.03	07:45:00	1.85800	1.85843	1.85717	1.85760	2036	0	14
2025.03.03	08:00:00	1.85760	1.85779	1.85684	1.85696	2507	0	14
2025.03.03	08:15:00	1.85697	1.85776	1.85642	1.85677	2740	0	14
2025.03.03	08:30:00	1.85677	1.85685	1.85492	1.85554	2406	0	14
2025.03.03	08:45:00	1.85554	1.85644	1.85538	1.85611	2168	0	14
2025.03.03	09:00:00	1.85610	1.85762	1.85610	1.85762	2388	0	14
2025.03.03	09:15:00	1.85763	1.85773	1.85703	1.85723	1953	0	14
2025.03.03	09:30:00	1.85722	1.85851	1.85709	1.85826	1994	0	14
2025.03.03	09:45:00	1.85826	1.85927	1.85809	1.85921	1692	0	14
2025.03.03	10:00:00	1.85921	1.86161	1.85919	1.86151	2298	0	14
2025.03.03	10:15:00	1.86151	1.86262	1.86135	1.86225	2917	0	14
2025.03.03	10:30:00	1.86225	1.86297	1.86207	1.86229	2368	0	14
2025.03.03	10:45:00	1.86230	1.86320	1.86223	1.86296	2138	0	14
2025.03.03	11:00:00	1.86296	1.86361	1.86267	1.86356	2363	0	14
2025.03.03	11:15:00	1.86356	1.86433	1.86340	1.86415	1976	0	14
2025.03.03	11:30:00	1.86416	1.86525	1.86347	1.86507	2232	0	14
2025.03.03	11:45:00	1.86507	1.86537	1.86445	1.86484	1875	0	14
2025.03.03	12:00:00	1.86484	1.86593	1.86472	1.86569	3825	0	14
2025.03.03	12:15:00	1.86568	1.86657	1.86552	1.86613	2480	0	14
2025.03.03	12:30:00	1.86613	1.86702	1.86604	1.86673	2387	0	14
2025.03.03	12:45:00	1.86673	1.86738	1.86657	1.86681	2479	0	14
2025.03.03	13:00:00	1.86681	1.86707	1.86632	1.86641	2491	0	14
2025.03.03	13:15:00	1.86641	1.86641	1.86488	1.86522	2587	0	14
2025.03.03	13:30:00	1.86521	1.86653	1.86496	1.86631	2034	0	14
2025.03.03	13:45:00	1.86631	1.86639	1.86482	1.86527	2314	0	14
2025.03.03	14:00:00	1.86527	1.86551	1.86423	1.86437	2102	0	14
2025.03.03	14:15:00	1.86436	1.86487	1.86416	1.86460	2674	0	14
2025.03.03	14:30:00	1.86460	1.86476	1.86326	1.86433	3063	0	14
2025.03.03	14:45:00	1.86421	1.86455	1.86273	1.86273	2996	0	14
2025.03.03	15:00:00	1.86273	1.86477	1.86227	1.86460	5159	0	14
2025.03.03	15:15:00	1.86460	1.86510	1.86372	1.86387	3328	0	14
2025.03.03	15:30:00	1.86387	1.86452	1.86301	1.86317	3569	0	14
2025.03.03	15:45:00	1.86317	1.86390	1.86262	1.86343	3703	0	14
2025.03.03	16:00:00	1.86344	1.86519	1.86327	1.86479	3359	0	14
2025.03.03	16:15:00	1.86478	1.86491	1.86407	1.86425	2656	0	14
2025.03.03	16:30:00	1.86425	1.86450	1.86355	1.86433	2541	0	14
2025.03.03	16:45:00	1.86433	1.86458	1.86286	1.86297	2382	0	14
2025.03.03	17:00:00	1.86295	1.86304	1.86217	1.86228	2727	0	14
2025.03.03	17:15:00	1.86228	1.86242	1.86163	1.86169	2106	0	14
2025.03.03	17:30:00	1.86169	1.86189	1.86115	1.86123	1674	0	14
2025.03.03	17:45:00	1.86123	1.86156	1.86061	1.86144	1650	0	14
2025.03.03	18:00:00	1.86144	1.86258	1.86144	1.86225	1746	0	14
2025.03.03	18:15:00	1.86224	1.86312	1.86194	1.86310	1507	0	14
2025.03.03	18:30:00	1.86310	1.86413	1.86309	1.86371	1729	0	14
2025.03.03	18:45:00	1.86372	1.86407	1.86173	1.86377	2269	0	14
2025.03.03	19:00:00	1.86377	1.86417	1.86324	1.86407	1934	0	14
2025.03.03	19:15:00	1.86407	1.86437	1.86388	1.86418	1710	0	14
2025.03.03	19:30:00	1.86418	1.86457	1.86364	1.86449	1341	0	14
2025.03.03	19:45:00	1.86449	1.86592	1.86446	1.86452	4297	0	14
2025.03.03	20:00:00	1.86452	1.86716	1.86443	1.86711	4409	0	14
2025.03.03	20:15:00	1.86713	1.86881	1.86701	1.86857	3205	0	14
2025.03.03	20:30:00	1.86857	1.86919	1.86752	1.86766	3480	0	14
2025.03.03	20:45:00	1.86765	1.86778	1.86627	1.86677	2358	0	14
2025.03.03	21:00:00	1.86669	1.86707	1.86610	1.86677	1356	0	14
2025.03.03	21:15:00	1.86685	1.86717	1.86636	1.86687	1234	0	14
2025.03.03	21:30:00	1.86687	1.86740	1.86675	1.86693	1531	0	14
2025.03.03	21:45:00	1.86693	1.86746	1.86668	1.86704	769	0	14
2025.03.03	22:00:00	1.86697	1.86820	1.86365	1.86705	279	0	66
2025.03.03	22:15:00	1.86705	1.86783	1.86705	1.86783	36	0	100
2025.03.03	22:30:00	1.86782	1.86787	1.86727	1.86759	416	0	48
2025.03.03	22:45:00	1.86760	1.86771	1.86681	1.86709	786	0	26
2025.03.03	23:00:00	1.86706	1.86777	1.86676	1.86707	300	0	14
2025.03.03	23:15:00	1.86715	1.86791	1.86702	1.86743	636	0	14
2025.03.03	23:30:00	1.86743	1.86807	1.86646	1.86703	1203	0	14
2025.03.03	23:45:00	1.86705	1.86880	1.86699	1.86828	1553	0	14
2025.03.04	00:00:00	1.86827	1.86918	1.86802	1.86878	1841	0	14
2025.03.04	00:15:00	1.86878	1.86909	1.86775	1.86806	1943	0	14
2025.03.04	00:30:00	1.86804	1.86919	1.86770	1.86860	1656	0	14
2025.03.04	00:45:00	1.86860	1.87008	1.86851	1.86917	2837	0	14
2025.03.04	01:00:00	1.86918	1.86938	1.86837	1.86854	2992	0	14
2025.03.04	01:15:00	1.86853	1.86867	1.86725	1.86726	3229	0	14
2025.03.04	01:30:00	1.86726	1.86950	1.86685	1.86945	3750	0	14
2025.03.04	01:45:00	1.86943	1.86970	1.86824	1.86887	2407	0	14
2025.03.04	02:00:00	1.86889	1.87028	1.86850	1.86970	2893	0	14
2025.03.04	02:15:00	1.86970	1.87047	1.86947	1.87004	1960	0	14
2025.03.04	02:30:00	1.87004	1.87021	1.86847	1.86897	1935	0	14
2025.03.04	02:45:00	1.86897	1.87056	1.86896	1.87056	1985	0	14
2025.03.04	03:00:00	1.87057	1.87081	1.86957	1.86980	1753	0	14
2025.03.04	03:15:00	1.86979	1.87017	1.86897	1.86916	1680	0	14
2025.03.04	03:30:00	1.86916	1.86923	1.86798	1.86876	1940	0	14
2025.03.04	03:45:00	1.86875	1.86987	1.86874	1.86982	1465	0	14
2025.03.04	04:00:00	1.86984	1.87080	1.86966	1.87019	1964	0	14
2025.03.04	04:15:00	1.87019	1.87021	1.86907	1.86970	1343	0	14
2025.03.04	04:30:00	1.86970	1.87051	1.86964	1.87017	1373	0	14
2025.03.04	04:45:00	1.87017	1.87053	1.87002	1.87027	1166	0	14
2025.03.04	05:00:00	1.87029	1.87177	1.86978	1.87019	4088	0	14
2025.03.04	05:15:00	1.87027	1.87055	1.86988	1.87027	2001	0	14
2025.03.04	05:30:00	1.87027	1.87067	1.86977	1.87024	1305	0	14
2025.03.04	05:45:00	1.87024	1.87067	1.86957	1.86959	1435	0	14
2025.03.04	06:00:00	1.86959	1.86989	1.86862	1.86939	1362	0	14
2025.03.04	06:15:00	1.86939	1.87045	1.86918	1.86992	1478	0	14
2025.03.04	06:30:00	1.86992	1.87033	1.86944	1.86992	1897	0	14
2025.03.04	06:45:00	1.86996	1.86999	1.86899	1.86949	1945	0	14
2025.03.04	07:00:00	1.86949	1.87027	1.86826	1.86991	2510	0	14
2025.03.04	07:15:00	1.86989	1.87040	1.86876	1.86877	2216	0	14
2025.03.04	07:30:00	1.86877	1.86948	1.86826	1.86948	3060	0	14
2025.03.04	07:45:00	1.86948	1.87052	1.86927	1.87016	2449	0	14
2025.03.04	08:00:00	1.87014	1.87078	1.86949	1.86997	3749	0	14
2025.03.04	08:15:00	1.86997	1.87197	1.86939	1.87195	3390	0	14
2025.03.04	08:30:00	1.87196	1.87328	1.87140	1.87295	4028	0	14
2025.03.04	08:45:00	1.87296	1.87400	1.87185	1.87197	3115	0	14
2025.03.04	09:00:00	1.87195	1.87201	1.87008	1.87017	3010	0	14
2025.03.04	09:15:00	1.87017	1.87037	1.86902	1.86924	2450	0	14
2025.03.04	09:30:00	1.86927	1.86954	1.86817	1.86888	2160	0	14
2025.03.04	09:45:00	1.86888	1.86920	1.86824	1.86876	2846	0	14
